"X","Dickeya_dadantii_3937","Dickeya_dianthicola_67_19","Dickeya_dianthicola_ME23","Dda3937_locus","DdiaME23_locus","Ddia6719_locus"
"group_00786","WP_013319334.1","WP_192989352.1","WP_024109184.1","DDA3937_RS17410","DZA65_RS18535","HGI48_RS17440"
"group_00787","WP_013319510.1","WP_192989456.1","WP_024109206.1","DDA3937_RS18255","DZA65_RS19330","HGI48_RS18190"
"group_00788","WP_033112160.1","WP_192991370.1","WP_024107855.1","DDA3937_RS21155","DZA65_RS00125","HGI48_RS00110"
"group_00789","WP_013318373.1","WP_192988754.1","WP_024106327.1","DDA3937_RS12830","DZA65_RS13365","HGI48_RS12900"
"group_00790","WP_013319214.1","WP_192989275.1","WP_024107063.1","DDA3937_RS16800","DZA65_RS17945","HGI48_RS16870"
"group_00791","WP_033111685.1","WP_192990616.1","WP_024104969.1","DDA3937_RS05575","DZA65_RS05960","HGI48_RS05635"
"group_00792","WP_013319089.1","WP_192989200.1","WP_024106960.1","DDA3937_RS16180","DZA65_RS17385","HGI48_RS16290"
"group_00793","WP_013317730.1","WP_192991161.1","WP_024105720.1","DDA3937_RS09735","DZA65_RS10055","HGI48_RS09745"
"group_00794","WP_013319850.1","WP_192989672.1","WP_024110292.1","DDA3937_RS20025","DZA65_RS21215","HGI48_RS20170"
"group_00795","WP_013317950.1","WP_192991307.1","WP_024105939.1","DDA3937_RS10800","DZA65_RS11225","HGI48_RS10755"
"group_00796","WP_013318190.1","WP_192988643.1","WP_024108836.1","DDA3937_RS11955","DZA65_RS12495","HGI48_RS12045"
"group_00797","WP_013319163.1","WP_192989241.1","WP_024107018.1","DDA3937_RS16555","DZA65_RS17715","HGI48_RS16625"
"group_00798","WP_042318739.1","WP_192990475.1","WP_103415933.1","DDA3937_RS04630","DZA65_RS04510","HGI48_RS04585"
"group_00799","WP_013318539.1","WP_029729602.1","WP_024106508.1","DDA3937_RS13610","DZA65_RS14125","HGI48_RS13640"
"group_00800","WP_013318165.1","WP_192988619.1","WP_024106143.1","DDA3937_RS11830","DZA65_RS12405","HGI48_RS11860"
"group_00801","WP_013316132.1","WP_192990122.1","WP_024104373.1","DDA3937_RS02125","DZA65_RS02230","HGI48_RS02095"
"group_00802","WP_013319275.1","WP_192989315.1","WP_024109168.1","DDA3937_RS17120","DZA65_RS18255","HGI48_RS17170"
"group_00803","WP_013319617.1","WP_192989525.1","WP_024107427.1","DDA3937_RS18785","DZA65_RS19905","HGI48_RS18770"
"group_00804","WP_013317736.1","WP_192991167.1","WP_024105726.1","DDA3937_RS09765","DZA65_RS10090","HGI48_RS09780"
"group_00805","WP_013319132.1","WP_192989225.1","WP_024109137.1","DDA3937_RS16405","DZA65_RS17590","HGI48_RS16505"
"group_00806","WP_013319427.1","WP_192989409.1","WP_024107242.1","DDA3937_RS17855","DZA65_RS18940","HGI48_RS17795"
"group_00807","WP_013318118.1","WP_192988593.1","WP_024106103.1","DDA3937_RS11610","DZA65_RS12155","HGI48_RS11670"
"group_00808","WP_013319734.1","WP_192989595.1","WP_024107552.1","DDA3937_RS19450","DZA65_RS20655","HGI48_RS19570"
"group_00809","WP_013317706.1","WP_192991144.1","WP_024105697.1","DDA3937_RS09610","DZA65_RS09935","HGI48_RS09625"
"group_00810","WP_013316226.1","WP_192990195.1","WP_024104466.1","DDA3937_RS02570","DZA65_RS02710","HGI48_RS02600"
"group_00811","WP_013317839.1","WP_192991235.1","WP_024105846.1","DDA3937_RS10240","DZA65_RS10725","HGI48_RS10250"
"group_00812","WP_013320128.1","WP_192989841.1","WP_024107900.1","DDA3937_RS21425","DZA65_RS22590","HGI48_RS21605"
"group_00813","WP_033112043.1","WP_192989335.1","WP_024109178.1","DDA3937_RS17280","DZA65_RS18425","HGI48_RS17335"
"group_00814","WP_013317550.1","WP_192991060.1","WP_029729437.1","DDA3937_RS08905","DZA65_RS09285","HGI48_RS08980"
"group_00815","WP_013320020.1","WP_192989911.1","WP_024109346.1","DDA3937_RS20915","DZA65_RS00330","HGI48_RS00330"
"group_00816","WP_013319438.1","WP_192991551.1","WP_024107250.1","DDA3937_RS17905","DZA65_RS18980","HGI48_RS17830"
"group_00817","WP_042318606.1","WP_024109243.1","WP_024109243.1","DDA3937_RS18850","DZA65_RS19965","HGI48_RS18855"
"group_00818","WP_013320139.1","WP_192989835.1","WP_024107910.1","DDA3937_RS21480","DZA65_RS22530","HGI48_RS21550"
"group_00819","WP_013316336.1","WP_192990290.1","WP_024108212.1","DDA3937_RS03145","DZA65_RS03315","HGI48_RS03320"
"group_00820","WP_042318523.1","WP_192989254.1","WP_026594830.1","DDA3937_RS16635","DZA65_RS17795","HGI48_RS16705"
"group_00821","WP_033112431.1","WP_192989605.1","WP_024107563.1","DDA3937_RS19505","DZA65_RS20715","HGI48_RS19635"
"group_00822","WP_013318967.1","WP_192989131.1","WP_024106855.1","DDA3937_RS15545","DZA65_RS16720","HGI48_RS15645"
"group_00823","WP_013320075.1","WP_192989871.1","WP_024107859.1","DDA3937_RS21175","DZA65_RS00105","HGI48_RS00090"
"group_00824","WP_013320055.1","WP_192989884.1","WP_024109353.1","DDA3937_RS21085","DZA65_RS00190","HGI48_RS00170"
"group_00825","WP_033111670.1","WP_192990553.1","WP_103415847.1","DDA3937_RS05205","DZA65_RS05545","HGI48_RS05205"
"group_00826","WP_013319428.1","WP_192989410.1","WP_024109191.1","DDA3937_RS17860","DZA65_RS18945","HGI48_RS17800"
"group_00827","WP_013316480.1","WP_192990913.1","WP_024105439.1","DDA3937_RS03830","DZA65_RS08530","HGI48_RS07935"
"group_00828","WP_042318634.1","WP_072145072.1","WP_072145072.1","DDA3937_RS19555","DZA65_RS20770","HGI48_RS19685"
"group_00829","WP_013319801.1","WP_024107606.1","WP_024107606.1","DDA3937_RS19775","DZA65_RS20960","HGI48_RS19890"
"group_00830","WP_013319556.1","WP_192989481.1","WP_024107358.1","DDA3937_RS18480","DZA65_RS19540","HGI48_RS18400"
"group_00831","WP_013317495.1","WP_192991029.1","WP_024108664.1","DDA3937_RS08645","DZA65_RS09075","HGI48_RS08785"
"group_00832","WP_013319860.1","WP_192989680.1","WP_024107658.1","DDA3937_RS20080","DZA65_RS21270","HGI48_RS20225"
"group_00833","WP_013315783.1","WP_161132065.1","WP_024104060.1","DDA3937_RS00370","DZA65_RS21985","HGI48_RS21000"
"group_00834","WP_013318360.1","WP_192988746.1","WP_024106315.1","DDA3937_RS12765","DZA65_RS13295","HGI48_RS12830"
"group_00835","WP_013318387.1","WP_192988764.1","WP_024106339.1","DDA3937_RS12890","DZA65_RS13425","HGI48_RS12960"
"group_00836","WP_013318434.1","WP_192988795.1","WP_024106380.1","DDA3937_RS13110","DZA65_RS13645","HGI48_RS13175"
"group_00837","WP_013316624.1","WP_192990454.1","WP_024104762.1","DDA3937_RS04505","DZA65_RS04385","HGI48_RS04465"
"group_00838","WP_013318835.1","WP_192989039.1","WP_029729655.1","DDA3937_RS14930","DZA65_RS15780","HGI48_RS15030"
"group_00839","WP_013317524.1","WP_192991042.1","WP_024105550.1","DDA3937_RS08785","DZA65_RS09170","HGI48_RS08865"
"group_00840","WP_033112363.1","WP_192988912.1","WP_024109009.1","DDA3937_RS14150","DZA65_RS14810","HGI48_RS14145"
"group_00841","WP_013318162.1","WP_192988616.1","WP_024109951.1","DDA3937_RS11815","DZA65_RS12390","HGI48_RS11845"
"group_00842","WP_013319984.1","WP_192989924.1","WP_024110319.1","DDA3937_RS20740","DZA65_RS00505","HGI48_RS00505"
"group_00843","WP_013316964.1","WP_161131520.1","WP_024105070.1","DDA3937_RS06155","DZA65_RS06545","HGI48_RS06200"
"group_00844","WP_013319906.1","WP_161131629.1","WP_016943436.1","DDA3937_RS20355","DZA65_RS00930","HGI48_RS00870"
"group_00845","WP_013319536.1","WP_192989471.1","WP_103415650.1","DDA3937_RS18380","DZA65_RS19455","HGI48_RS18315"
"group_00846","WP_013316045.1","WP_024104272.1","WP_024104272.1","DDA3937_RS01730","DZA65_RS01700","HGI48_RS01625"
"group_00847","WP_013318748.1","WP_192988959.1","WP_024106634.1","DDA3937_RS14510","DZA65_RS15415","HGI48_RS14480"
"group_00848","WP_013315919.1","WP_013315919.1","WP_013315919.1","DDA3937_RS01065","DZA65_RS01120","HGI48_RS19405"
"group_00849","WP_013318877.1","WP_192989065.1","WP_024109057.1","DDA3937_RS15115","DZA65_RS16000","HGI48_RS15195"
"group_00850","WP_013318359.1","WP_192991500.1","WP_026594764.1","DDA3937_RS12760","DZA65_RS13290","HGI48_RS12825"
"group_00851","WP_033111575.1","WP_192990193.1","WP_024104464.1","DDA3937_RS02560","DZA65_RS02700","HGI48_RS02590"
"group_00852","WP_013317991.1","WP_103415880.1","WP_103415880.1","DDA3937_RS10995","DZA65_RS11405","HGI48_RS10945"
"group_00853","WP_013318769.1","WP_192988972.1","WP_024106652.1","DDA3937_RS14615","DZA65_RS15505","HGI48_RS14565"
"group_00854","WP_013316813.1","WP_192990596.1","WP_024104940.1","DDA3937_RS05420","DZA65_RS05805","HGI48_RS05480"
"group_00855","WP_013317508.1","WP_192991032.1","WP_024105538.1","DDA3937_RS08705","DZA65_RS09105","HGI48_RS08800"
"group_00856","WP_013319807.1","WP_192989650.1","WP_024107612.1","DDA3937_RS19805","DZA65_RS21010","HGI48_RS19965"
"group_00857","WP_013318720.1","WP_192988940.1","WP_024106607.1","DDA3937_RS14380","DZA65_RS15280","HGI48_RS14350"
"group_00858","WP_013316474.1","WP_192990908.1","WP_024105433.1","DDA3937_RS03800","DZA65_RS08500","HGI48_RS07905"
"group_00859","WP_013317327.1","WP_192990866.1","WP_024109835.1","DDA3937_RS07880","DZA65_RS08200","HGI48_RS07640"
"group_00860","WP_013318921.1","WP_192989093.1","WP_024106778.1","DDA3937_RS15310","DZA65_RS16210","HGI48_RS15390"
"group_00861","WP_013317883.1","WP_192991265.1","WP_024105883.1","DDA3937_RS10465","DZA65_RS10945","HGI48_RS10465"
"group_00862","WP_013315949.1","WP_192990013.1","WP_024104197.1","DDA3937_RS01215","DZA65_RS01255","HGI48_RS01210"
"group_00863","WP_013316604.1","WP_192990445.1","WP_024104748.1","DDA3937_RS04415","DZA65_RS04305","HGI48_RS04390"
"group_00864","WP_013317293.1","WP_192990850.1","WP_162928388.1","DDA3937_RS07725","DZA65_RS08085","HGI48_RS07540"
"group_00865","WP_033111958.1","WP_192988906.1","WP_024106556.1","DDA3937_RS14110","DZA65_RS14770","HGI48_RS14110"
"group_00866","WP_013316822.1","WP_192990602.1","WP_024104949.1","DDA3937_RS05470","DZA65_RS05855","HGI48_RS05530"
"group_00867","WP_013319855.1","WP_192989676.1","WP_024107653.1","DDA3937_RS20050","DZA65_RS21240","HGI48_RS20195"
"group_00868","WP_033111972.1","WP_192989033.1","WP_024106693.1","DDA3937_RS14865","DZA65_RS15735","HGI48_RS14985"
"group_00869","WP_013317242.1","WP_161143076.1","WP_024105265.1","DDA3937_RS07490","DZA65_RS07875","HGI48_RS07365"
"group_00870","WP_013316185.1","WP_192990158.1","WP_103415665.1","DDA3937_RS02385","DZA65_RS02445","HGI48_RS02340"
"group_00871","WP_013316638.1","WP_192990467.1","WP_024108317.1","DDA3937_RS04575","DZA65_RS04455","HGI48_RS04535"
"group_00872","WP_013317925.1","WP_192991295.1","WP_024105923.1","DDA3937_RS10675","DZA65_RS11145","HGI48_RS10675"
"group_00873","WP_013318866.1","WP_192989056.1","WP_024106728.1","DDA3937_RS15060","DZA65_RS15940","HGI48_RS15140"
"group_00874","WP_033112085.1","WP_161131780.1","WP_024107251.1","DDA3937_RS17910","DZA65_RS18985","HGI48_RS17835"
"group_00875","WP_013315846.1","WP_192989738.1","WP_024108066.1","DDA3937_RS00670","DZA65_RS21730","HGI48_RS20720"
"group_00876","WP_013318790.1","WP_192988985.1","WP_024106668.1","DDA3937_RS14705","DZA65_RS15590","HGI48_RS14645"
"group_00877","WP_013319172.1","WP_192989247.1","WP_024110140.1","DDA3937_RS16600","DZA65_RS17760","HGI48_RS16670"
"group_00878","WP_013318979.1","WP_192989140.1","WP_024106867.1","DDA3937_RS15605","DZA65_RS16780","HGI48_RS15705"
"group_00879","WP_013319245.1","WP_192989294.1","WP_024107090.1","DDA3937_RS16980","DZA65_RS18120","HGI48_RS17045"
"group_00880","WP_033111539.1","WP_192990052.1","WP_024104266.1","DDA3937_RS01690","DZA65_RS01660","HGI48_RS01585"
"group_00881","WP_013315853.1","WP_161132035.1","WP_024104118.1","DDA3937_RS00705","DZA65_RS21685","HGI48_RS20665"
"group_00882","WP_013319431.1","WP_192989412.1","WP_024109194.1","DDA3937_RS17875","DZA65_RS18960","HGI48_RS17815"
"group_00883","WP_033111702.1","WP_192990691.1","WP_024108494.1","DDA3937_RS06335","DZA65_RS06725","HGI48_RS06380"
"group_00884","WP_013319597.1","WP_192989505.1","WP_024109231.1","DDA3937_RS18685","DZA65_RS19750","HGI48_RS18615"
"group_00885","WP_050570333.1","WP_192988818.1","WP_051119517.1","DDA3937_RS13320","DZA65_RS13855","HGI48_RS13370"
"group_00886","WP_013315821.1","WP_192989749.1","WP_024104088.1","DDA3937_RS00555","DZA65_RS21850","HGI48_RS20835"
"group_00887","WP_042318713.1","WP_192990004.1","WP_024108087.1","DDA3937_RS01150","DZA65_RS01190","HGI48_RS01145"
"group_00888","WP_033112263.1","WP_192991443.1","WP_024105453.1","DDA3937_RS07075","DZA65_RS08600","HGI48_RS08005"
"group_00889","WP_013316728.1","WP_103415845.1","WP_103415845.1","DDA3937_RS04995","DZA65_RS05345","HGI48_RS05005"
"group_00890","WP_013316062.1","WP_192990069.1","WP_024108112.1","DDA3937_RS01815","DZA65_RS01785","HGI48_RS01710"
"group_00891","WP_033112083.1","WP_192989406.1","WP_103415646.1","DDA3937_RS17840","DZA65_RS18925","HGI48_RS17780"
"group_00892","WP_033112140.1","WP_192989937.1","WP_024107753.1","DDA3937_RS20600","DZA65_RS00630","HGI48_RS00585"
"group_00893","WP_013318143.1","WP_192988604.1","WP_024108816.1","DDA3937_RS11735","DZA65_RS12260","HGI48_RS11775"
"group_00894","WP_013318690.1","WP_192988924.1","WP_024106580.1","DDA3937_RS14245","DZA65_RS14895","HGI48_RS14220"
"group_00895","WP_013319317.1","WP_192989341.1","WP_024109182.1","DDA3937_RS17325","DZA65_RS18460","HGI48_RS17370"
"group_00896","WP_033111819.1","WP_192991120.1","WP_024108713.1","DDA3937_RS09420","DZA65_RS09745","HGI48_RS09435"
"group_00897","WP_013317222.1","WP_103415737.1","WP_103415737.1","DDA3937_RS07395","DZA65_RS07770","HGI48_RS07260"
"group_00898","WP_013318640.1","WP_192988893.1","WP_024106541.1","DDA3937_RS14025","DZA65_RS14695","HGI48_RS14020"
"group_00899","WP_013317020.1","WP_161131511.1","WP_024108499.1","DDA3937_RS06465","DZA65_RS06850","HGI48_RS06505"
"group_00900","WP_033111497.1","WP_192989765.1","WP_024104073.1","DDA3937_RS00455","DZA65_RS21925","HGI48_RS20940"
"group_00901","WP_033111781.1","WP_192991007.1","WP_024105503.1","DDA3937_RS08475","DZA65_RS08930","HGI48_RS08640"
"group_00902","WP_013318223.1","WP_192988668.1","WP_024106199.1","DDA3937_RS12110","DZA65_RS12650","HGI48_RS12200"
"group_00903","WP_013318599.1","WP_192990790.1","WP_103415835.1","DDA3937_RS13870","DZA65_RS14425","HGI48_RS07095"
"group_00904","WP_033111509.1","WP_192989729.1","WP_024104117.1","DDA3937_RS00700","DZA65_RS21690","HGI48_RS20670"
"group_00905","WP_013318099.1","WP_192988577.1","WP_024106071.1","DDA3937_RS11510","DZA65_RS11890","HGI48_RS11555"
"group_00906","WP_013318395.1","WP_192988768.1","WP_024106344.1","DDA3937_RS12915","DZA65_RS13450","HGI48_RS12990"
"group_00907","WP_033111817.1","WP_192991112.1","WP_024105649.1","DDA3937_RS09360","DZA65_RS09685","HGI48_RS09375"
"group_00908","WP_013318779.1","WP_192988979.1","WP_103415826.1","DDA3937_RS14660","DZA65_RS15545","HGI48_RS14605"
"group_00909","WP_033112114.1","WP_192989600.1","WP_024107558.1","DDA3937_RS19480","DZA65_RS20690","HGI48_RS19610"
"group_00910","WP_013318692.1","WP_024106582.1","WP_024106582.1","DDA3937_RS14255","DZA65_RS14905","HGI48_RS14230"
"group_00911","WP_013318802.1","WP_192988992.1","WP_024109045.1","DDA3937_RS14760","DZA65_RS15640","HGI48_RS14695"
"group_00912","WP_033111897.1","WP_192988647.1","WP_024106172.1","DDA3937_RS11980","DZA65_RS12520","HGI48_RS12070"
"group_00913","WP_033111956.1","WP_192988896.1","WP_024106546.1","DDA3937_RS14050","DZA65_RS14720","HGI48_RS14045"
"group_00914","WP_033112027.1","WP_192989252.1","WP_024107030.1","DDA3937_RS16625","DZA65_RS17785","HGI48_RS16695"
"group_00915","WP_013319937.1","WP_192989954.1","WP_026594870.1","DDA3937_RS20520","DZA65_RS00750","HGI48_RS00695"
"group_00916","WP_071604541.1","WP_192991509.1","WP_024106456.1","DDA3937_RS13325","DZA65_RS13860","HGI48_RS13375"
"group_00917","WP_013318458.1","WP_161132621.1","WP_024106401.1","DDA3937_RS13230","DZA65_RS13770","HGI48_RS13295"
"group_00918","WP_013319836.1","WP_103415946.1","WP_103415946.1","DDA3937_RS19935","DZA65_RS21135","HGI48_RS20090"
"group_00919","WP_033111721.1","WP_192990920.1","WP_024105446.1","DDA3937_RS07040","DZA65_RS08565","HGI48_RS07970"
"group_00920","WP_013316255.1","WP_192990207.1","WP_024104481.1","DDA3937_RS02715","DZA65_RS02845","HGI48_RS02690"
"group_00921","WP_013319362.1","WP_192989378.1","WP_024107193.1","DDA3937_RS17545","DZA65_RS18680","HGI48_RS17595"
"group_00922","WP_033111506.1","WP_192989735.1","WP_024104112.1","DDA3937_RS00685","DZA65_RS21720","HGI48_RS20705"
"group_00923","WP_013319521.1","WP_192989462.1","WP_024107326.1","DDA3937_RS18310","DZA65_RS19385","HGI48_RS18245"
"group_00924","WP_013319736.1","WP_192989596.1","WP_024107554.1","DDA3937_RS19460","DZA65_RS20665","HGI48_RS19580"
"group_00925","WP_013318382.1","WP_103415906.1","WP_103415906.1","DDA3937_RS12870","DZA65_RS13405","HGI48_RS12940"
"group_00926","WP_013317489.1","WP_192991024.1","WP_024105525.1","DDA3937_RS08615","DZA65_RS09045","HGI48_RS08755"
"group_00927","WP_013316754.1","WP_192990545.1","WP_024104879.1","DDA3937_RS05135","DZA65_RS05475","HGI48_RS05135"
"group_00928","WP_013316919.1","WP_192990644.1","WP_024105034.1","DDA3937_RS05945","DZA65_RS06325","HGI48_RS05995"
"group_00929","WP_013319161.1","WP_192989239.1","WP_024107016.1","DDA3937_RS16545","DZA65_RS17705","HGI48_RS16615"
"group_00930","WP_013316232.1","WP_192991395.1","WP_024104472.1","DDA3937_RS02600","DZA65_RS02740","HGI48_RS02630"
"group_00931","WP_013317953.1","WP_192991310.1","WP_029729494.1","DDA3937_RS10815","DZA65_RS11240","HGI48_RS10770"
"group_00932","WP_013317958.1","WP_192991315.1","WP_024108786.1","DDA3937_RS10840","DZA65_RS11260","HGI48_RS10795"
"group_00933","WP_013316937.1","WP_024105050.1","WP_024105050.1","DDA3937_RS06035","DZA65_RS06430","HGI48_RS06080"
"group_00934","WP_013317021.1","WP_024105123.1","WP_024105123.1","DDA3937_RS06470","DZA65_RS06855","HGI48_RS06510"
"group_00935","WP_013319465.1","WP_024107278.1","WP_024107278.1","DDA3937_RS18045","DZA65_RS19125","HGI48_RS17980"
"group_00936","WP_013317644.1","WP_192991107.1","WP_024108703.1","DDA3937_RS09325","DZA65_RS09655","HGI48_RS09350"
"group_00937","WP_161624736.1","WP_161132332.1","WP_161128606.1","DDA3937_RS15480","DZA65_RS16665","HGI48_RS15590"
"group_00938","WP_013317920.1","WP_192991291.1","WP_024105918.1","DDA3937_RS10650","DZA65_RS11120","HGI48_RS10650"
"group_00939","WP_033111816.1","WP_192991110.1","WP_024105647.1","DDA3937_RS09350","DZA65_RS09675","HGI48_RS09365"
"group_00940","WP_033111954.1","WP_192988895.1","WP_026594798.1","DDA3937_RS14035","DZA65_RS14705","HGI48_RS14030"
"group_00941","WP_013316059.1","WP_024108110.1","WP_103415810.1","DDA3937_RS01800","DZA65_RS01770","HGI48_RS01695"
"group_00942","WP_013318683.1","WP_192988919.1","WP_024106574.1","DDA3937_RS14210","DZA65_RS14860","HGI48_RS14185"
"group_00943","WP_013319451.1","WP_024107265.1","WP_024107265.1","DDA3937_RS17970","DZA65_RS19050","HGI48_RS17905"
"group_00944","WP_013318409.1","WP_192988776.1","WP_024106356.1","DDA3937_RS12985","DZA65_RS13515","HGI48_RS13050"
"group_00945","WP_013317779.1","WP_192991198.1","WP_103415939.1","DDA3937_RS09990","DZA65_RS10335","HGI48_RS10000"
"group_00946","WP_013319837.1","WP_024109289.1","WP_024107637.1","DDA3937_RS19940","DZA65_RS21140","HGI48_RS20095"
"group_00947","WP_013316670.1","WP_192990486.1","WP_024109745.1","DDA3937_RS04735","DZA65_RS04600","HGI48_RS04660"
"group_00948","WP_013318832.1","WP_192989037.1","WP_024106699.1","DDA3937_RS14915","DZA65_RS15765","HGI48_RS15015"
"group_00949","WP_013317923.1","WP_192991469.1","WP_029729492.1","DDA3937_RS10665","DZA65_RS11135","HGI48_RS10665"
"group_00950","WP_013316903.1","WP_024105019.1","WP_024105019.1","DDA3937_RS05870","DZA65_RS06250","HGI48_RS05915"
"group_00951","WP_013318311.1","WP_192988722.1","WP_024106274.1","DDA3937_RS12530","DZA65_RS13035","HGI48_RS12585"
"group_00952","WP_013318923.1","WP_192989095.1","WP_024106780.1","DDA3937_RS15320","DZA65_RS16220","HGI48_RS15400"
"group_00953","WP_033111503.1","WP_192989742.1","WP_024104094.1","DDA3937_RS00595","DZA65_RS21805","HGI48_RS20795"
"group_00954","WP_033111492.1","WP_192989771.1","WP_024104054.1",NA,"DZA65_RS22015","HGI48_RS21030"
"group_00955","WP_013316739.1","WP_024109682.1","WP_024108424.1","DDA3937_RS05060","DZA65_RS05400","HGI48_RS05060"
"group_00956","WP_013318094.1","WP_024106066.1","WP_024106066.1","DDA3937_RS11485","DZA65_RS11865","HGI48_RS11530"
"group_00957","WP_033112456.1","WP_161131910.1","WP_024109382.1","DDA3937_RS21390","DZA65_RS22610","HGI48_RS21625"
"group_00958","WP_013319887.1","WP_192989986.1","WP_024109303.1","DDA3937_RS20255","DZA65_RS01030","HGI48_RS00970"
"group_00959","WP_013315902.1","WP_192989704.1","WP_024108081.1","DDA3937_RS00950","DZA65_RS21470","HGI48_RS20425"
"group_00960","WP_013319197.1","WP_192989268.1","WP_024107048.1","DDA3937_RS16720","DZA65_RS17875","HGI48_RS16800"
"group_00961","WP_033111867.1","WP_192988539.1","WP_024106007.1","DDA3937_RS11135","DZA65_RS11535","HGI48_RS11155"
"group_00962","WP_033111922.1","WP_192988741.1","WP_024106306.1","DDA3937_RS12715","DZA65_RS13245","HGI48_RS12780"
"group_00963","WP_013317601.1","WP_192991086.1","WP_024105610.1","DDA3937_RS09140","DZA65_RS09480","HGI48_RS09180"
"group_00964","WP_013317068.1","WP_161131489.1","WP_024105170.1","DDA3937_RS06710","DZA65_RS07085","HGI48_RS06730"
"group_00965","WP_013318473.1","WP_192988812.1","WP_024106448.1","DDA3937_RS13285","DZA65_RS13810","HGI48_RS13335"
"group_00966","WP_013316987.1","WP_192990686.1","WP_024108492.1","DDA3937_RS06305","DZA65_RS06695","HGI48_RS06350"
"group_00967","WP_033112392.1","WP_161131986.1","WP_024109123.1","DDA3937_RS16130","DZA65_RS17345","HGI48_RS16250"
"group_00968","WP_013318974.1","WP_192989135.1","WP_024106862.1","DDA3937_RS15580","DZA65_RS16755","HGI48_RS15680"
"group_00969","WP_013319028.1","WP_192989174.1","WP_024106911.1","DDA3937_RS15855","DZA65_RS17080","HGI48_RS15995"
"group_00970","WP_013315960.1","WP_192990018.1","WP_024104205.1","DDA3937_RS01290","DZA65_RS01315","HGI48_RS01270"
"group_00971","WP_013317085.1","WP_192991423.1","WP_024108525.1","DDA3937_RS06790","DZA65_RS07165","HGI48_RS06825"
"group_00972","WP_013316589.1","WP_024104738.1","WP_024104738.1","DDA3937_RS04340","DZA65_RS04255","HGI48_RS04335"
"group_00973","WP_013317815.1","WP_192991221.1","WP_024109527.1","DDA3937_RS10145","DZA65_RS10590","HGI48_RS10175"
"group_00974","WP_013319566.1","WP_192989487.1","WP_024109220.1","DDA3937_RS18530","DZA65_RS19590","HGI48_RS18455"
"group_00975","WP_013317660.1","WP_024105655.1","WP_024108708.1","DDA3937_RS09390","DZA65_RS09715","HGI48_RS09405"
"group_00976","WP_013318479.1","WP_192988817.1","WP_024106454.1","DDA3937_RS13315","DZA65_RS13850","HGI48_RS13365"
"group_00977","WP_013319593.1","WP_192989503.1","WP_024107394.1","DDA3937_RS18665","DZA65_RS19730","HGI48_RS18595"
"group_00978","WP_013317683.1","WP_192991129.1","WP_024105677.1","DDA3937_RS09490","DZA65_RS09820","HGI48_RS09510"
"group_00979","WP_013318516.1","WP_024106490.1","WP_024106490.1","DDA3937_RS13510","DZA65_RS14040","HGI48_RS13555"
"group_00980","WP_013317467.1","WP_192991013.1","WP_024105511.1","DDA3937_RS08515","DZA65_RS08970","HGI48_RS08680"
"group_00981","WP_033111573.1","WP_192990172.1","WP_024104433.1","DDA3937_RS02490","DZA65_RS02540","HGI48_RS02435"
"group_00982","WP_013318044.1","WP_192988547.1","WP_103415889.1","DDA3937_RS11220","DZA65_RS11600","HGI48_RS11255"
"group_00983","WP_013318411.1","WP_192988778.1","WP_024106358.1","DDA3937_RS12995","DZA65_RS13525","HGI48_RS13060"
"group_00984","WP_013316705.1","WP_192990522.1","WP_024104835.1","DDA3937_RS04900","DZA65_RS05245","HGI48_RS04910"
"group_00985","WP_013316729.1","WP_192990535.1","WP_024104856.1","DDA3937_RS05010","DZA65_RS05360","HGI48_RS05020"
"group_00986","WP_013319852.1","WP_192989674.1","WP_024110294.1","DDA3937_RS20035","DZA65_RS21225","HGI48_RS20180"
"group_00987","WP_013318069.1","WP_192988563.1","WP_024106044.1","DDA3937_RS11355","DZA65_RS11740","HGI48_RS11395"
"group_00988","WP_013316735.1","WP_192990539.1","WP_024108423.1","DDA3937_RS05040","DZA65_RS05385","HGI48_RS05045"
"group_00989","WP_013319856.1","WP_192989677.1","WP_024107654.1","DDA3937_RS20055","DZA65_RS21245","HGI48_RS20200"
"group_00990","WP_013317677.1","WP_192991125.1","WP_024105671.1","DDA3937_RS09460","DZA65_RS09790","HGI48_RS09480"
"group_00991","WP_033111677.1","WP_192990587.1","WP_024104931.1","DDA3937_RS05370","DZA65_RS05755","HGI48_RS05435"
"group_00992","WP_012886159.1","WP_012886159.1","WP_012886159.1","DDA3937_RS18020","DZA65_RS19100","HGI48_RS17955"
"group_00993","WP_013319569.1","WP_024107371.1","WP_024109221.1","DDA3937_RS18540","DZA65_RS19610","HGI48_RS18475"
"group_00994","WP_013316310.1","WP_192990279.1","WP_024104583.1","DDA3937_RS03005","DZA65_RS03170","HGI48_RS03175"
"group_00995","WP_013317045.1","WP_192990722.1","WP_024108508.1","DDA3937_RS06605","DZA65_RS06980","HGI48_RS06625"
"group_00996","WP_013319563.1","WP_192989486.1","WP_024107365.1","DDA3937_RS18515","DZA65_RS19575","HGI48_RS18440"
"group_00997","WP_013319930.1","WP_192989955.1","WP_024107723.1","DDA3937_RS20475","DZA65_RS00790","HGI48_RS00735"
"group_00998","WP_013320033.1","WP_192989901.1","WP_024107825.1","DDA3937_RS20975","DZA65_RS00270","HGI48_RS00265"
"group_00999","WP_013318321.1","WP_192988727.1","WP_024108868.1","DDA3937_RS12585","DZA65_RS13095","HGI48_RS12640"
