"","X..feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","locus_tag","feature_interval_length","product_length","attributes","COG"
"1064","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",570451,571008,"+","WP_013316227.1","WP_013316227.1",NA,"polysaccharide export protein","",9731934,"DDA3937_RS02575",558,185,"","none"
"1065","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",571011,573143,"+","","",NA,"","",9731935,"DDA3937_RS02580",2133,NA,"Dda3937_02643","cell wall/membrane/envelope biogenesis"
"1066","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",571011,573143,"+","WP_013316228.1","WP_013316228.1",NA,"polysaccharide biosynthesis tyrosine autokinase","",9731935,"DDA3937_RS02580",2133,710,"","none"
"1067","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",573157,574368,"+","","",NA,"","",9731936,"DDA3937_RS02585",1212,NA,"Dda3937_02642","none"
"1068","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",573157,574368,"+","WP_013316229.1","WP_013316229.1",NA,"oligosaccharide flippase family protein","",9731936,"DDA3937_RS02585",1212,403,"","none"
"1069","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",574365,575747,"+","","",NA,"","",9731937,"DDA3937_RS02590",1383,NA,"Dda3937_02641","none"
"1070","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",574365,575747,"+","WP_013316230.1","WP_013316230.1",NA,"hypothetical protein","",9731937,"DDA3937_RS02590",1383,460,"","none"
"1071","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",575740,576729,"+","","",NA,"","",23677391,"DDA3937_RS02595",990,NA,"","none"
"1072","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",575740,576729,"+","WP_033111576.1","WP_033111576.1",NA,"glycosyltransferase","",23677391,"DDA3937_RS02595",990,329,"","none"
"1073","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",576739,577950,"+","","",NA,"","",9731939,"DDA3937_RS02600",1212,NA,"Dda3937_02694","cell wall/membrane/envelope biogenesis"
"1074","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",576739,577950,"+","WP_013316232.1","WP_013316232.1",NA,"glycosyltransferase family 4 protein","",9731939,"DDA3937_RS02600",1212,403,"","none"
"1075","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",577952,579067,"+","","",NA,"","",9731940,"DDA3937_RS02605",1116,NA,"Dda3937_02695","cell wall/membrane/envelope biogenesis"
"1076","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",577952,579067,"+","WP_013316233.1","WP_013316233.1",NA,"glycosyltransferase family 4 protein","",9731940,"DDA3937_RS02605",1116,371,"","none"
"1077","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",579083,579490,"+","","",NA,"","",9731941,"DDA3937_RS02610",408,NA,"Dda3937_02696","none"
"1078","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",579083,579490,"+","WP_013316234.1","WP_013316234.1",NA,"hypothetical protein","",9731941,"DDA3937_RS02610",408,135,"","none"
"1079","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",579529,580923,"+","","",NA,"","",9731942,"DDA3937_RS02615",1395,NA,"Dda3937_02697","none"
"1080","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",579529,580923,"+","WP_013316235.1","WP_013316235.1",NA,"DUF4832 domain-containing protein","",9731942,"DDA3937_RS02615",1395,464,"","none"
"1081","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",580950,581450,"+","","",NA,"","",9731943,"DDA3937_RS02620",501,NA,"Dda3937_02698","none"
"1082","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",580950,581450,"+","WP_013316236.1","WP_013316236.1",NA,"serine acetyltransferase","",9731943,"DDA3937_RS02620",501,166,"","none"
"1083","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",581656,581949,"+","","",NA,"","",9731944,"DDA3937_RS02625",294,NA,"Dda3937_02699","function unknown"
"1084","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",581656,581949,"+","WP_013316237.1","WP_013316237.1",NA,"DUF1778 domain-containing protein","",9731944,"DDA3937_RS02625",294,97,"","none"
"1085","gene","pseudogene","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",582007,582430,"+","","",NA,"","",30316570,"DDA3937_RS21820",424,NA,"Dda3937_02700","none"
"1086","CDS","without_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",582007,582430,"+","","",NA,"GNAT family N-acetyltransferase","",30316570,"DDA3937_RS21820",424,NA,"pseudo","none"
"1087","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",582713,584452,"+","","",NA,"","",9731946,"DDA3937_RS02630",1740,NA,"Dda3937_02702","none"
"1088","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",582713,584452,"+","WP_013316238.1","WP_013316238.1",NA,"TIGR04141 family sporadically distributed protein","",9731946,"DDA3937_RS02630",1740,579,"","none"
"1089","gene","pseudogene","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",584740,585034,"-","","",NA,"","ccdB",30316571,"DDA3937_RS21825",295,NA,"pseudo","none"
"1090","CDS","without_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",584740,585034,"-","","",NA,"type II toxin-antitoxin system toxin CcdB","ccdB",30316571,"DDA3937_RS21825",295,NA,"pseudo","none"
"1091","gene","pseudogene","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",585046,585147,"-","","",NA,"","",56705031,"DDA3937_RS22990",102,NA,"partial;pseudo","none"
"1092","CDS","without_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",585046,585147,"-","","",NA,"type II toxin-antitoxin system CcdA family antitoxin","",56705031,"DDA3937_RS22990",102,NA,"partial;pseudo","none"
"1093","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",585621,586112,"-","","",NA,"","",9731949,"DDA3937_RS02640",492,NA,"Dda3937_02703","none"
"1094","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",585621,586112,"-","WP_033111578.1","WP_033111578.1",NA,"hypothetical protein","",9731949,"DDA3937_RS02640",492,163,"","none"
"1095","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",587253,587546,"+","","",NA,"","",9731951,"DDA3937_RS02645",294,NA,"Dda3937_02704","function unknown"
"1096","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",587253,587546,"+","WP_013316243.1","WP_013316243.1",NA,"DUF1778 domain-containing protein","",9731951,"DDA3937_RS02645",294,97,"","none"
"1097","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",587543,588031,"+","","",NA,"","",9731952,"DDA3937_RS02650",489,NA,"Dda3937_02705","none"
"1098","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",587543,588031,"+","WP_033111579.1","WP_033111579.1",NA,"GNAT family N-acetyltransferase","",9731952,"DDA3937_RS02650",489,162,"","none"
"1099","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",588528,590570,"-","","",NA,"","",9731953,"DDA3937_RS02655",2043,NA,"Dda3937_02706","none"
"1100","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",588528,590570,"-","WP_013316245.1","WP_013316245.1",NA,"RNA-directed DNA polymerase","",9731953,"DDA3937_RS02655",2043,680,"","none"
"1101","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",590563,591906,"-","","",NA,"","",9731954,"DDA3937_RS02660",1344,NA,"Dda3937_02707","none"
"1102","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",590563,591906,"-","WP_013316246.1","WP_013316246.1",NA,"RNA-directed DNA polymerase","",9731954,"DDA3937_RS02660",1344,447,"","none"
"1103","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",592071,592376,"-","","",NA,"","ccdB",9731955,"DDA3937_RS02665",306,NA,"Dda3937_02708","none"
"1104","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",592071,592376,"-","WP_013316247.1","WP_013316247.1",NA,"type II toxin-antitoxin system toxin CcdB","ccdB",9731955,"DDA3937_RS02665",306,101,"","none"
"1105","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",592379,592597,"-","","",NA,"","ccdA",9731956,"DDA3937_RS02670",219,NA,"Dda3937_02709","mobilome: prophages, transposons"
"1106","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",592379,592597,"-","WP_012773205.1","WP_012773205.1",NA,"type II toxin-antitoxin system antitoxin CcdA","ccdA",9731956,"DDA3937_RS02670",219,72,"","none"
"1107","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",592656,593399,"-","","",NA,"","",9731957,"DDA3937_RS02675",744,NA,"Dda3937_02710","none"
"1108","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",592656,593399,"-","WP_013316248.1","WP_013316248.1",NA,"hypothetical protein","",9731957,"DDA3937_RS02675",744,247,"","none"
"1109","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",594300,594650,"-","","",NA,"","",9731959,"DDA3937_RS02680",351,NA,"Dda3937_02712","none"
"1110","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",594300,594650,"-","WP_013316250.1","WP_013316250.1",NA,"hypothetical protein","",9731959,"DDA3937_RS02680",351,116,"","none"
"1111","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",594773,594961,"+","","",NA,"","",23677392,"DDA3937_RS02685",189,NA,"","none"
"1112","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",594773,594961,"+","WP_033111580.1","WP_033111580.1",NA,"hypothetical protein","",23677392,"DDA3937_RS02685",189,62,"","none"
"1113","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",595102,596361,"-","","",NA,"","",9731960,"DDA3937_RS02690",1260,NA,"Dda3937_02713","replication, recombination, and repair"
"1114","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",595102,596361,"-","WP_013316251.1","WP_013316251.1",NA,"integrase arm-type DNA-binding domain-containing protein","",9731960,"DDA3937_RS02690",1260,419,"","none"
"1115","gene","tRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",596523,596598,"-","","",NA,"","",9731961,"DDA3937_RS02695",76,NA,"Dda3937_04267","none"
"1116","tRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",596523,596598,"-","","",NA,"tRNA-Phe","",9731961,"DDA3937_RS02695",76,NA,"GAA","none"
"1117","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",596761,597336,"-","","",NA,"","",9731962,"DDA3937_RS02700",576,NA,"Dda3937_02714","transcription"
"1118","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",596761,597336,"-","WP_013316252.1","WP_013316252.1",NA,"transcriptional regulator","",9731962,"DDA3937_RS02700",576,191,"","none"
"1119","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",597429,599147,"-","","",NA,"","",9731963,"DDA3937_RS02705",1719,NA,"Dda3937_02715","postranslational modification, protein turnover, chaperones"
"1120","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",597429,599147,"-","WP_013316253.1","WP_013316253.1",NA,"protein-disulfide reductase DsbD","",9731963,"DDA3937_RS02705",1719,572,"","none"
"1121","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",599123,599524,"-","","",NA,"","cutA",9731964,"DDA3937_RS02710",402,NA,"Dda3937_02716","inorganic ion transport and metabolism"
"1122","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",599123,599524,"-","WP_081441328.1","WP_081441328.1",NA,"divalent cation tolerance protein CutA","cutA",9731964,"DDA3937_RS02710",402,133,"","none"
"1123","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",599639,600940,"-","","",NA,"","",9731965,"DDA3937_RS02715",1302,NA,"Dda3937_02717","carbohydrate transport and metabolism"
"1124","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",599639,600940,"-","WP_013316255.1","WP_013316255.1",NA,"anaerobic C4-dicarboxylate transporter","",9731965,"DDA3937_RS02715",1302,433,"","none"
"1125","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",601115,602554,"-","","",NA,"","aspA",9731966,"DDA3937_RS02720",1440,NA,"Dda3937_02718","amino acid transport and metabolism"
"1126","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",601115,602554,"-","WP_013316256.1","WP_013316256.1",NA,"aspartate ammonia-lyase","aspA",9731966,"DDA3937_RS02720",1440,479,"","none"
"1127","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",602997,603524,"+","","",NA,"","",9731967,"DDA3937_RS02725",528,NA,"Dda3937_02719","general function prediction only"
"1128","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",602997,603524,"+","WP_013316257.1","WP_013316257.1",NA,"FxsA family protein","",9731967,"DDA3937_RS02725",528,175,"","none"
"1129","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",603719,604012,"+","","",NA,"","",9731968,"DDA3937_RS02730",294,NA,"Dda3937_02720","postranslational modification, protein turnover, chaperones"
"1130","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",603719,604012,"+","WP_013316258.1","WP_013316258.1",NA,"co-chaperone GroES","",9731968,"DDA3937_RS02730",294,97,"","none"
"1131","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",604063,605709,"+","","",NA,"","groL",9731969,"DDA3937_RS02735",1647,NA,"Dda3937_02721","postranslational modification, protein turnover, chaperones"
"1132","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",604063,605709,"+","WP_013316259.1","WP_013316259.1",NA,"chaperonin GroEL","groL",9731969,"DDA3937_RS02735",1647,548,"","none"
"1133","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",606034,606549,"+","","",NA,"","ubiC",9731970,"DDA3937_RS02740",516,NA,"Dda3937_02722","coenzyme transport and metabolism"
"1134","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",606034,606549,"+","WP_013316260.1","WP_013316260.1",NA,"chorismate lyase","ubiC",9731970,"DDA3937_RS02740",516,171,"","none"
"1135","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",606571,607434,"+","","",NA,"","ubiA",9731971,"DDA3937_RS02745",864,NA,"Dda3937_02723","coenzyme transport and metabolism"
"1136","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",606571,607434,"+","WP_013316261.1","WP_013316261.1",NA,"4-hydroxybenzoate octaprenyltransferase","ubiA",9731971,"DDA3937_RS02745",864,287,"","none"
"1137","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",607513,610002,"-","","",NA,"","plsB",9731972,"DDA3937_RS02750",2490,NA,"Dda3937_02724","lipid transport and metabolism"
"1138","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",607513,610002,"-","WP_013316262.1","WP_013316262.1",NA,"glycerol-3-phosphate 1-O-acyltransferase PlsB","plsB",9731972,"DDA3937_RS02750",2490,829,"","none"
"1139","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",610131,610496,"+","","",NA,"","",9731973,"DDA3937_RS02755",366,NA,"Dda3937_02725","lipid transport and metabolism"
"1140","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",610131,610496,"+","WP_013316263.1","WP_013316263.1",NA,"diacylglycerol kinase","",9731973,"DDA3937_RS02755",366,121,"","none"
"1141","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",610606,611217,"+","","",NA,"","lexA",9731974,"DDA3937_RS02760",612,NA,"Dda3937_02726","transcription"
"1142","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",610606,611217,"+","WP_013316264.1","WP_013316264.1",NA,"repressor LexA","lexA",9731974,"DDA3937_RS02760",612,203,"","none"
"1143","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",611561,612070,"-","","",NA,"","zur",9731975,"DDA3937_RS02765",510,NA,"Dda3937_02727","inorganic ion transport and metabolism"
"1144","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",611561,612070,"-","WP_013316265.1","WP_013316265.1",NA,"zinc uptake transcriptional repressor Zur","zur",9731975,"DDA3937_RS02765",510,169,"","none"
"1145","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",612319,613023,"-","","",NA,"","",9731976,"DDA3937_RS02770",705,NA,"Dda3937_02728","general function prediction only"
"1146","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",612319,613023,"-","WP_013316266.1","WP_013316266.1",NA,"pirin family protein","",9731976,"DDA3937_RS02770",705,234,"","none"
"1147","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",613133,614029,"+","","",NA,"","",9731977,"DDA3937_RS02775",897,NA,"Dda3937_02729","transcription"
"1148","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",613133,614029,"+","WP_013316267.1","WP_013316267.1",NA,"LysR family transcriptional regulator","",9731977,"DDA3937_RS02775",897,298,"","none"
"1149","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",614136,615122,"-","","",NA,"","",9731978,"DDA3937_RS02780",987,NA,"Dda3937_02730","energy production and conversions"
"1150","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",614136,615122,"-","WP_013316268.1","WP_013316268.1",NA,"glutathione S-transferase family protein","",9731978,"DDA3937_RS02780",987,328,"","none"
"1151","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",615228,615623,"-","","",NA,"","",9731979,"DDA3937_RS02785",396,NA,"Dda3937_02731","function unknown"
"1152","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",615228,615623,"-","WP_033111581.1","WP_033111581.1",NA,"DoxX family protein","",9731979,"DDA3937_RS02785",396,131,"","none"
"1153","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",615924,616229,"-","","",NA,"","",9731980,"DDA3937_RS02790",306,NA,"Dda3937_02732","none"
"1154","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",615924,616229,"-","WP_013316270.1","WP_013316270.1",NA,"YqjK-like family protein","",9731980,"DDA3937_RS02790",306,101,"","none"
"1155","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",616226,616624,"-","","",NA,"","",9731981,"DDA3937_RS02795",399,NA,"Dda3937_02733","function unknown"
"1156","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",616226,616624,"-","WP_013316271.1","WP_013316271.1",NA,"phage holin family protein","",9731981,"DDA3937_RS02795",399,132,"","none"
"1157","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",616628,616933,"-","","",NA,"","",9731982,"DDA3937_RS02800",306,NA,"Dda3937_02734","translation, ribosomal structure, and biogenesis"
"1158","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",616628,616933,"-","WP_013316272.1","WP_013316272.1",NA,"DUF883 domain-containing protein","",9731982,"DDA3937_RS02800",306,101,"","none"
"1159","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",617132,617482,"-","","",NA,"","mzrA",9731983,"DDA3937_RS02805",351,NA,"Dda3937_02735","none"
"1160","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",617132,617482,"-","WP_033111582.1","WP_033111582.1",NA,"EnvZ/OmpR regulon moderator MzrA","mzrA",9731983,"DDA3937_RS02805",351,116,"","none"
"1161","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",617486,618160,"-","","",NA,"","",9731984,"DDA3937_RS02810",675,NA,"Dda3937_02736","function unknown"
"1162","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",617486,618160,"-","WP_013316274.1","WP_013316274.1",NA,"DedA family protein","",9731984,"DDA3937_RS02810",675,224,"","none"
"1163","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",618904,619683,"-","","",NA,"","exuR",9731985,"DDA3937_RS02815",780,NA,"Dda3937_02737","transcription"
"1164","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",618904,619683,"-","WP_013316275.1","WP_013316275.1",NA,"transcriptional regulator ExuR","exuR",9731985,"DDA3937_RS02815",780,259,"","none"
"1165","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",620052,621350,"-","","",NA,"","",9731986,"DDA3937_RS02820",1299,NA,"Dda3937_02738","carbohydrate transport and metabolism"
"1166","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",620052,621350,"-","WP_013316276.1","WP_013316276.1",NA,"MFS transporter","",9731986,"DDA3937_RS02820",1299,432,"","none"
"1167","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",621865,623283,"+","","",NA,"","uxaC",9731987,"DDA3937_RS02825",1419,NA,"Dda3937_02739","carbohydrate transport and metabolism"
"1168","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",621865,623283,"+","WP_013316277.1","WP_013316277.1",NA,"glucuronate isomerase","uxaC",9731987,"DDA3937_RS02825",1419,472,"","none"
"1169","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",623578,625029,"+","","",NA,"","",9731988,"DDA3937_RS02830",1452,NA,"Dda3937_02740","carbohydrate transport and metabolism"
"1170","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",623578,625029,"+","WP_013316278.1","WP_013316278.1",NA,"tagaturonate reductase","",9731988,"DDA3937_RS02830",1452,483,"","none"
"1171","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",625048,626538,"+","","",NA,"","",9731989,"DDA3937_RS02835",1491,NA,"Dda3937_02741","carbohydrate transport and metabolism"
"1172","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",625048,626538,"+","WP_013316279.1","WP_013316279.1",NA,"altronate dehydratase","",9731989,"DDA3937_RS02835",1491,496,"","none"
"1173","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",626669,627214,"+","","",NA,"","",9731990,"DDA3937_RS02840",546,NA,"Dda3937_02742","none"
"1174","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",626669,627214,"+","WP_013316280.1","WP_013316280.1",NA,"YgjV family protein","",9731990,"DDA3937_RS02840",546,181,"","none"
"1175","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",627260,628213,"-","","",NA,"","",9731991,"DDA3937_RS02845",954,NA,"Dda3937_02743","inorganic ion transport and metabolism"
"1176","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",627260,628213,"-","WP_013316281.1","WP_013316281.1",NA,"TerC family protein","",9731991,"DDA3937_RS02845",954,317,"","none"
"1177","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",628664,629836,"+","","",NA,"","rlmG",9731993,"DDA3937_RS02850",1173,NA,"Dda3937_03553","translation, ribosomal structure, and biogenesis"
"1178","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",628664,629836,"+","WP_013316282.1","WP_013316282.1",NA,"23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG","rlmG",9731993,"DDA3937_RS02850",1173,390,"","none"
"1179","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",629930,630226,"+","","",NA,"","",9731994,"DDA3937_RS02855",297,NA,"Dda3937_03552","none"
"1180","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",629930,630226,"+","WP_013316283.1","WP_013316283.1",NA,"hypothetical protein","",9731994,"DDA3937_RS02855",297,98,"","none"
"1181","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",630535,631482,"+","","",NA,"","",9731995,"DDA3937_RS02860",948,NA,"Dda3937_03551","carbohydrate transport and metabolism"
"1182","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",630535,631482,"+","WP_013316284.1","WP_013316284.1",NA,"pectate lyase","",9731995,"DDA3937_RS02860",948,315,"","none"
"1183","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",632074,632664,"+","","",NA,"","uhpA",9731996,"DDA3937_RS02865",591,NA,"Dda3937_03550","transcription"
"1184","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",632074,632664,"+","WP_013316285.1","WP_013316285.1",NA,"transcriptional regulator UhpA","uhpA",9731996,"DDA3937_RS02865",591,196,"","none"
"1185","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",632664,634175,"+","","",NA,"","uhpB",9731997,"DDA3937_RS02870",1512,NA,"Dda3937_03549","signal transduction mechanisms"
"1186","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",632664,634175,"+","WP_033111583.1","WP_033111583.1",NA,"signal transduction histidine-protein kinase/phosphatase UhpB","uhpB",9731997,"DDA3937_RS02870",1512,503,"","none"
