	Dickeya_dadantii_3937	Dickeya_dianthicola_67_19	Dickeya_dianthicola_ME23	Pectobacterium_carotovorum_WPP14
group_00985	WP_013316354.1	WP_192990299.1	WP_024104629.1	WP_010307479.1
group_00986	WP_013319166.1	WP_192989243.1	WP_024107021.1	WP_010306042.1
group_00987	WP_013320099.1	WP_161131906.1	WP_024109372.1	WP_005976672.1
group_00988	WP_013316369.1	WP_192990309.1	WP_099327151.1	WP_102118025.1
group_00989	WP_013317036.1	WP_192990720.1	WP_024105139.1	WP_010302704.1
group_00990	WP_033111785.1	WP_192991026.1	WP_024105528.1	WP_010297650.1
group_00991	WP_033112175.1	WP_192989785.1	WP_024104037.1	WP_049776287.1
group_00992	WP_013319320.1	WP_192989343.1	WP_024107155.1	WP_010295023.1
group_00993	WP_013319355.1	WP_192989373.1	WP_024107187.1	WP_010295075.1
group_00994	WP_013317729.1	WP_192991160.1	WP_024105719.1	WP_039472688.1
group_00995	WP_013315898.1	WP_192989706.1	WP_024108079.1	WP_010299291.1
group_00996	WP_013316966.1	WP_192990669.1	WP_024105072.1	WP_010298765.1
group_00997	WP_013317913.1	WP_192991286.1	WP_024108768.1	WP_010296100.1
group_00998	WP_013319158.1	WP_192989238.1	WP_024107013.1	WP_010306025.1
group_00999	WP_013319159.1	WP_119875259.1	WP_024107014.1	WP_010306028.1
group_01000	WP_013317246.1	WP_161132507.1	WP_024107644.1	WP_010298410.1
group_01001	WP_013319081.1	WP_192989195.1	WP_024106955.1	WP_039475968.1
group_01002	WP_013319531.1	WP_192989468.1	WP_103415648.1	WP_029368881.1
group_01003	WP_013318427.1	WP_192988790.1	WP_024106373.1	WP_010302635.1
group_01004	WP_013318910.1	WP_024106767.1	WP_024106767.1	WP_010305660.1
group_01005	WP_013317047.1	WP_192990723.1	WP_024105147.1	WP_010302728.1
group_01006	WP_013318522.1	WP_024106496.1	WP_024106496.1	WP_039506056.1
group_01007	WP_013316703.1	WP_192990520.1	WP_024104833.1	WP_010299671.1
group_01008	WP_013316935.1	WP_192990654.1	WP_024105049.1	WP_010286490.1
group_01009	WP_013319467.1	WP_192989426.1	WP_012886166.1	WP_010298023.1
group_01010	WP_013318525.1	WP_024106498.1	WP_024106498.1	WP_010279505.1
group_01011	WP_013317623.1	WP_192991094.1	WP_024105626.1	WP_010294769.1
group_01012	WP_013319650.1	WP_192989560.1	WP_024107474.1	WP_010295503.1
group_01013	WP_013317990.1	WP_192991341.1	WP_024105982.1	WP_010304656.1
group_01014	WP_013315931.1	WP_192989999.1	WP_024104183.1	WP_010301734.1
group_01015	WP_013315912.1	WP_192989699.1	WP_024108082.1	WP_010308147.1
group_01016	WP_013316436.1	WP_192990348.1	WP_024108257.1	WP_010298007.1
group_01017	WP_013317057.1	WP_192990732.1	WP_024108512.1	WP_010309950.1
group_01018	WP_033111986.1	WP_192989085.1	WP_024109060.1	WP_010305664.1
group_01019	WP_033112300.1	WP_192991455.1	WP_024105510.1	WP_010303333.1
group_01020	WP_013316821.1	WP_192990601.1	WP_024104948.1	WP_010299055.1
group_01021	WP_013317033.1	WP_192990718.1	WP_103415787.1	WP_010309795.1
group_01022	WP_013318445.1	WP_192988801.1	WP_024106391.1	WP_161502379.1
group_01023	WP_013318138.1	WP_024109941.1	WP_103415966.1	WP_010302156.1
group_01024	WP_013316105.1	WP_192990104.1	WP_024104346.1	WP_010298298.1
group_01025	WP_013319226.1	WP_192989282.1	WP_024107073.1	WP_010299829.1
group_01026	WP_013317612.1	WP_161132747.1	WP_024108694.1	WP_010294799.1
group_01027	WP_042318383.1	WP_192988617.1	WP_024106141.1	WP_029368319.1
group_01028	WP_013319098.1	WP_192989205.1	WP_024106968.1	WP_010285348.1
group_01029	WP_013318484.1	WP_192988821.1	WP_024108889.1	WP_010306086.1
group_01030	WP_013317902.1	WP_192991280.1	WP_024105902.1	WP_010295171.1
group_01031	WP_013319714.1	WP_192989582.1	WP_029729781.1	WP_010296996.1
group_01032	WP_013319452.1	WP_109105169.1	WP_024107266.1	WP_010297966.1
group_01033	WP_107768443.1	WP_192990577.1	WP_024104916.1	WP_029369213.1
group_01034	WP_013317491.1	WP_192991025.1	WP_024108662.1	WP_010297655.1
group_01035	WP_013315914.1	WP_192989991.1	WP_024104170.1	WP_010309699.1
group_01036	WP_013318504.1	WP_192988830.1	WP_024106478.1	WP_010301666.1
group_01037	WP_013318246.1	WP_024106217.1	WP_024106217.1	WP_180890183.1
group_01038	WP_013315983.1	WP_192990027.1	WP_024104220.1	WP_010300314.1
group_01039	WP_013316098.1	WP_192990099.1	WP_024104336.1	WP_029367913.1
group_01040	WP_033111926.1	WP_161132601.1	WP_026594765.1	WP_010297781.1
group_01041	WP_013315727.1	WP_192989804.1	WP_024104008.1	WP_010298108.1
group_01042	WP_013318948.1	WP_192989120.1	WP_024106839.1	WP_010280044.1
group_01043	WP_013319835.1	WP_192989666.1	WP_024107635.1	WP_010294574.1
group_01044	WP_013317628.1	WP_192991098.1	WP_026594729.1	WP_029367297.1
group_01045	WP_013315956.1	WP_192991379.1	WP_024104202.1	WP_029368234.1
group_01046	WP_013317219.1	WP_192990812.1	WP_024105240.1	WP_010307016.1
group_01047	WP_013317142.1	WP_192990919.1	WP_024107943.1	WP_010303151.1
group_01048	WP_013318430.1	WP_192988792.1	WP_024106376.1	WP_010297240.1
group_01049	WP_013318906.1	WP_192989083.1	WP_024106765.1	WP_010305600.1
group_01050	WP_013316290.1	WP_161132926.1	WP_024104517.1	WP_029367850.1
group_01051	WP_013319661.1	WP_192989564.1	WP_024107483.1	WP_029367465.1
group_01052	WP_013315734.1	WP_024104018.1	WP_024104018.1	WP_010298136.1
group_01053	WP_013319136.1	WP_161132125.1	WP_024104719.1	WP_010305553.1
group_01054	WP_033112008.1	WP_024106910.1	WP_024106910.1	WP_010299498.1
group_01055	WP_013319564.1	WP_024107366.1	WP_024107366.1	WP_010300567.1
group_01056	WP_013320137.1	WP_024107908.1	WP_024107908.1	WP_010300066.1
group_01057	WP_033112011.1	WP_192989184.1	WP_024106934.1	WP_010308851.1
group_01058	WP_013316981.1	WP_192990683.1	WP_024108489.1	WP_010298794.1
group_01059	WP_033112191.1	WP_192990073.1	WP_024109561.1	WP_010297536.1
group_01060	WP_013317641.1	WP_192991105.1	WP_024108700.1	WP_010294744.1
group_01061	WP_013318332.1	WP_024106294.1	WP_024106294.1	WP_039471672.1
group_01062	WP_013318846.1	WP_192989044.1	WP_024106706.1	WP_010309552.1
group_01063	WP_013317250.1	WP_192990831.1	WP_024105271.1	WP_010298423.1
group_01064	WP_013316330.1	WP_192990285.1	WP_024104601.1	WP_039462337.1
group_01065	WP_013318985.1	WP_192989143.1	WP_024109096.1	WP_180890140.1
group_01066	WP_013318438.1	WP_024108882.1	WP_024108882.1	WP_010297216.1
group_01067	WP_013319812.1	WP_192989653.1	WP_024107616.1	WP_010294523.1
group_01068	WP_013319857.1	WP_192989678.1	WP_024109297.1	WP_010294644.1
group_01069	WP_013318520.1	WP_024106493.1	WP_024106493.1	WP_010279517.1
group_01070	WP_013317611.1	WP_192991090.1	WP_024105619.1	WP_010294802.1
group_01071	WP_013318292.1	WP_192988711.1	WP_024106258.1	WP_010295836.1
group_01072	WP_013320096.1	WP_192989863.1	WP_024109370.1	WP_010296953.1
group_01073	WP_013319207.1	WP_024110144.1	WP_103415628.1	WP_010305381.1
group_01074	WP_013317790.1	WP_192991208.1	WP_024105802.1	WP_010306768.1
group_01075	WP_013320063.1	WP_192989879.1	WP_024109359.1	WP_010296554.1
group_01076	WP_013318297.1	WP_192988714.1	WP_024106262.1	WP_010295820.1
group_01077	WP_013318432.1	WP_192988793.1	WP_024106378.1	WP_010297234.1
group_01078	WP_033111765.1	WP_192990888.1	WP_162928374.1	WP_010302133.1
group_01079	WP_013316301.1	WP_024104576.1	WP_024104576.1	WP_010308328.1
group_01080	WP_013318287.1	WP_192988707.1	WP_024106253.1	WP_010276789.1
group_01081	WP_013316713.1	WP_192990526.1	WP_024104840.1	WP_010299685.1
group_01082	WP_013316970.1	WP_192990674.1	WP_024105076.1	WP_138255825.1
group_01083	WP_013317053.1	WP_192990728.1	WP_024105153.1	WP_010302750.1
group_01084	WP_033111894.1	WP_192988626.1	WP_024108829.1	WP_010298739.1
group_01085	WP_033111837.1	WP_192991217.1	WP_024105817.1	WP_010310096.1
group_01086	WP_013319950.1	WP_192989945.1	WP_024109323.1	WP_161503093.1
group_01087	WP_013316424.1	WP_192990338.1	WP_026594649.1	WP_010295777.1
group_01088	WP_013316020.1	WP_024104252.1	WP_024104252.1	WP_010296667.1
group_01089	WP_013317848.1	WP_024105854.1	WP_024105854.1	WP_010295244.1
group_01090	WP_013316328.1	WP_192990283.1	WP_024104599.1	WP_010300020.1
group_01091	WP_013319576.1	WP_192989493.1	WP_024107378.1	WP_010285800.1
group_01092	WP_013317694.1	WP_192991136.1	WP_024105685.1	WP_010306399.1
group_01093	WP_013320036.1	WP_192989898.1	WP_024107828.1	WP_010304867.1
group_01094	WP_013318378.1	WP_192988759.1	WP_103415907.1	WP_010277017.1
group_01095	WP_013316268.1	WP_192990215.1	WP_024109672.1	WP_010298851.1
group_01096	WP_013319894.1	WP_192989981.1	WP_103415774.1	WP_010298659.1
group_01097	WP_033111602.1	WP_192990331.1	WP_103415931.1	WP_010297086.1
group_01098	WP_013316106.1	WP_161132420.1	WP_024104347.1	WP_010284634.1
group_01099	WP_013318422.1	WP_192988786.1	WP_024106369.1	WP_029367786.1
group_01100	WP_013319173.1	WP_192989248.1	WP_024107026.1	WP_010309121.1
group_01101	WP_012883014.1	WP_012883014.1	WP_024104223.1	WP_010300322.1
group_01102	WP_013316594.1	WP_192990439.1	WP_024104742.1	WP_161502837.1
group_01103	WP_013319199.1	WP_192989269.1	WP_024107050.1	WP_029368745.1
group_01104	WP_193345746.1	WP_192991550.1	WP_035044894.1	WP_029367349.1
group_01105	WP_013319198.1	WP_161132014.1	WP_024107049.1	WP_010309912.1
group_01106	WP_013317485.1	WP_192991021.1	WP_024105521.1	WP_010300194.1
group_01107	WP_013317916.1	WP_192991288.1	WP_024105916.1	WP_010296090.1
group_01108	WP_013318495.1	WP_016940901.1	WP_016940901.1	WP_010301682.1
group_01109	WP_013317869.1	WP_192991255.1	WP_024105871.1	WP_010295215.1
group_01110	WP_033111700.1	WP_192990658.1	WP_024108484.1	WP_010301565.1
group_01111	WP_013319311.1	WP_192989336.1	WP_024107147.1	WP_010294995.1
group_01112	WP_013316092.1	WP_192991385.1	WP_024104329.1	WP_010298266.1
group_01113	WP_013317751.1	WP_192991178.1	WP_024105741.1	WP_010307081.1
group_01114	WP_013319750.1	WP_192989608.1	WP_024107565.1	WP_010297107.1
group_01115	WP_013319905.1	WP_192989972.1	WP_103415770.1	WP_010298635.1
group_01116	WP_013319009.1	WP_024106893.1	WP_024106893.1	WP_010302500.1
group_01117	WP_013319190.1	WP_192989263.1	WP_024107043.1	WP_010308552.1
group_01118	WP_013315805.1	WP_192989759.1	WP_024104078.1	WP_010281080.1
group_01119	WP_013316477.1	WP_192990910.1	WP_024108642.1	WP_010298933.1
group_01120	WP_013319024.1	WP_192989172.1	WP_024106907.1	WP_010299494.1
group_01121	WP_013319916.1	WP_024107712.1	WP_024109312.1	WP_010300792.1
group_01122	WP_013317251.1	WP_192990832.1	WP_024105272.1	WP_010298434.1
group_01123	WP_013319476.1	WP_024107287.1	WP_024107287.1	WP_010298048.1
group_01124	WP_033112131.1	WP_192989679.1	WP_024109298.1	WP_029367261.1
group_01125	WP_013316345.1	WP_192990294.1	WP_024108224.1	WP_010309331.1
group_01126	WP_013317480.1	WP_192991018.1	WP_026594723.1	WP_010297668.1
group_01127	WP_013317912.1	WP_192991285.1	WP_024105912.1	WP_010275170.1
group_01128	WP_013316806.1	WP_192990589.1	WP_103415780.1	WP_010298495.1
group_01129	WP_013316961.1	WP_192990666.1	WP_024105068.1	WP_010298756.1
group_01130	WP_013317844.1	WP_022633470.1	WP_162928379.1	WP_010295247.1
group_01131	WP_013317598.1	WP_192991084.1	WP_024105607.1	WP_010294820.1
group_01132	WP_013316295.1	WP_192988733.1	WP_024106299.1	WP_010299483.1
group_01133	WP_013318080.1	WP_024106055.1	WP_024106055.1	WP_010275686.1
group_01134	WP_013319353.1	WP_192989372.1	WP_024107185.1	WP_010295071.1
group_01135	WP_033111998.1	WP_192989136.1	WP_024109092.1	WP_010301133.1
group_01136	WP_013319919.1	WP_192989962.1	WP_024109313.1	WP_010300787.1
group_01137	WP_013317982.1	WP_024105975.1	WP_024108792.1	WP_010304667.1
group_01138	WP_013318917.1	WP_192989090.1	WP_024106774.1	WP_010305698.1
group_01139	WP_013318357.1	WP_024109981.1	WP_024106312.1	WP_010309602.1
group_01140	WP_033111609.1	WP_192990351.1	WP_024104709.1	WP_010308440.1
group_01141	WP_033112216.1	WP_192991402.1	WP_024104712.1	WP_039535404.1
group_01142	WP_013319925.1	WP_192989959.1	WP_024107719.1	WP_010300764.1
group_01143	WP_033112072.1	WP_024107225.1	WP_024107225.1	WP_010295143.1
group_01144	WP_033112049.1	WP_192989354.1	WP_024107167.1	WP_010295039.1
group_01145	WP_013319511.1	WP_192989457.1	WP_024109207.1	WP_010299756.1
group_01146	WP_013319217.1	WP_192989277.1	WP_103415824.1	WP_010299805.1
group_01147	WP_033111576.1	WP_192990199.1	WP_024104471.1	WP_010303457.1
group_01148	WP_013320119.1	WP_161131947.1	WP_029729834.1	WP_010307408.1
group_01149	WP_013318972.1	WP_192989134.1	WP_024109090.1	WP_180890141.1
group_01150	WP_013317802.1	WP_024105812.1	WP_024105812.1	WP_010307912.1
group_01151	WP_013316223.1	WP_192990192.1	WP_024104462.1	WP_010307947.1
group_01152	WP_013319075.1	WP_161131985.1	WP_024106950.1	WP_010306166.1
group_01153	WP_013316011.1	WP_192990039.1	WP_024108102.1	WP_010296646.1
group_01154	WP_013319244.1	WP_192989293.1	WP_024107089.1	WP_010309076.1
group_01155	WP_013315975.1	WP_192990022.1	WP_103415814.1	WP_010300275.1
group_01156	WP_013315802.1	WP_192989762.1	WP_024104075.1	WP_010296852.1
group_01157	WP_013317487.1	WP_192991023.1	WP_024105523.1	WP_010300201.1
group_01158	WP_013317325.1	WP_192990864.1	WP_029729393.1	WP_010301796.1
group_01159	WP_013317909.1	WP_024108766.1	WP_024105909.1	WP_010296113.1
group_01160	WP_013315889.1	WP_192989712.1	WP_024104148.1	WP_039541860.1
group_01161	WP_013316192.1	WP_192990165.1	WP_024104423.1	WP_010296284.1
group_01162	WP_013318171.1	WP_192988625.1	WP_024108828.1	WP_010298740.1
group_01163	WP_013317617.1	WP_192991460.1	WP_024105623.1	WP_010294778.1
group_01164	WP_012768121.1	WP_012768121.1	WP_012768121.1	WP_005970247.1
group_01165	WP_013319675.1	WP_024107495.1	WP_024107495.1	WP_010309261.1
group_01166	WP_013318739.1	WP_192988951.1	WP_024106626.1	WP_010298541.1
group_01167	WP_013316887.1	WP_192990630.1	WP_024105007.1	WP_010303048.1
group_01168	WP_013319327.1	WP_192989349.1	WP_024107161.1	WP_029368336.1
group_01169	WP_033112418.1	WP_192989441.1	WP_024109202.1	WP_157757036.1
group_01170	WP_033112272.1	WP_192991430.1	WP_026594709.1	WP_010298420.1
group_01171	WP_013318124.1	WP_192988598.1	WP_024106109.1	WP_029368482.1
group_01172	WP_013316830.1	WP_192990609.1	WP_024104958.1	WP_010299078.1
group_01173	WP_033112082.1	WP_103415645.1	WP_103415645.1	WP_010300370.1
group_01174	WP_033111842.1	WP_192991254.1	WP_024105870.1	WP_010295217.1
group_01175	WP_013316146.1	WP_192990131.1	WP_024108139.1	WP_010302334.1
group_01176	WP_013320107.1	WP_192989852.1	WP_024107886.1	WP_010299393.1
group_01177	WP_033112102.1	WP_192989563.1	WP_024107477.1	WP_010295515.1
group_01178	WP_013318763.1	WP_024106645.1	WP_024106645.1	WP_010298562.1
group_01179	WP_033112330.1	WP_192988615.1	WP_024106136.1	WP_180890013.1
group_01180	WP_013316293.1	WP_192990235.1	WP_024104520.1	WP_010309491.1
group_01181	WP_013316360.1	WP_192990304.1	WP_024104634.1	WP_010301809.1
group_01182	WP_013316916.1	WP_192990643.1	WP_024105031.1	WP_010301314.1
group_01183	WP_013319573.1	WP_192989491.1	WP_024107375.1	WP_010285797.1
group_01184	WP_013319532.1	WP_192989469.1	WP_103415649.1	WP_010306731.1
group_01185	WP_013319803.1	WP_192989637.1	WP_035044961.1	WP_010294506.1
group_01186	WP_013315881.1	WP_161132024.1	WP_024104140.1	WP_010306854.1
group_01187	WP_013318703.1	WP_024106592.1	WP_024106592.1	WP_010278889.1
group_01188	WP_013315804.1	WP_192989760.1	WP_024104077.1	WP_010281083.1
group_01189	WP_013319596.1	WP_024107397.1	WP_024107397.1	WP_010296796.1
group_01190	WP_013315984.1	WP_192990028.1	WP_024104221.1	WP_010300317.1
group_01191	WP_013320065.1	WP_192989877.1	WP_024107850.1	WP_010302769.1
group_01192	WP_033112054.1	WP_192991549.1	WP_024107182.1	WP_010295064.1
group_01193	WP_013317898.1	WP_029729485.1	WP_024105898.1	WP_010295182.1
group_01194	WP_013315830.1	WP_192989743.1	WP_024104093.1	WP_010301190.1
group_01195	WP_013318842.1	WP_192989041.1	WP_024106704.1	WP_010298480.1
group_01196	WP_013317321.1	WP_192990862.1	WP_024105367.1	WP_010296737.1
group_01197	WP_013317935.1	WP_192991301.1	WP_103415876.1	WP_010296592.1
group_01198	WP_013318268.1	WP_192988700.1	WP_024106239.1	WP_010295883.1
group_01199	WP_013315916.1	WP_192989993.1	WP_024104172.1	WP_010309704.1
group_01200	WP_033111758.1	WP_192990876.1	WP_024105388.1	WP_029368112.1
group_01201	WP_013319923.1	WP_192989961.1	WP_024107717.1	WP_010300769.1
group_01202	WP_013319602.1	WP_192989515.1	WP_024109236.1	WP_010295623.1
group_01203	WP_013320023.1	WP_024107816.1	WP_024107816.1	WP_010284189.1
group_01204	WP_013317663.1	WP_192991119.1	WP_024108710.1	WP_010307325.1
group_01205	WP_033112391.1	WP_192989187.1	WP_024106941.1	WP_010309782.1
group_01206	WP_013317007.1	WP_192990700.1	WP_024105110.1	WP_010299153.1
group_01207	WP_013316034.1	WP_161132388.1	WP_024104262.1	WP_010296700.1
group_01208	WP_013318270.1	WP_192988701.1	WP_024106240.1	WP_010295877.1
group_01209	WP_013317702.1	WP_024105693.1	WP_024108716.1	WP_010308105.1
group_01210	WP_013317011.1	WP_192990704.1	WP_024105114.1	WP_010299169.1
group_01211	WP_013315739.1	WP_192989797.1	WP_024104024.1	WP_010298160.1
group_01212	WP_013315915.1	WP_192989992.1	WP_024104171.1	WP_010309702.1
group_01213	WP_013319542.1	WP_192989476.1	WP_024107344.1	WP_010300501.1
group_01214	WP_013317361.1	WP_192990893.1	WP_024105408.1	WP_010296902.1
group_01215	WP_013318072.1	WP_192988565.1	WP_024106047.1	WP_010297819.1
group_01216	WP_013320049.1	WP_161131882.1	WP_024107836.1	WP_010296573.1
group_01217	WP_042318336.1	WP_192991215.1	WP_024105815.1	WP_010307882.1
group_01218	WP_013316766.1	WP_024104891.1	WP_024104891.1	WP_010296434.1
group_01219	WP_013318452.1	WP_192988806.1	WP_024106397.1	WP_010297178.1
group_01220	WP_013318669.1	WP_192988911.1	WP_024106564.1	WP_010295323.1
group_01221	WP_013317343.1	WP_192990880.1	WP_024105392.1	WP_010308942.1
group_01222	WP_013317360.1	WP_192990892.1	WP_024105407.1	WP_010296904.1
group_01223	WP_013318405.1	WP_161132610.1	WP_024106353.1	WP_010297743.1
group_01224	WP_013319223.1	WP_022634659.1	WP_012885939.1	WP_010299820.1
group_01225	WP_013316621.1	WP_024104759.1	WP_024104759.1	WP_010301400.1
group_01226	WP_013317522.1	WP_192991040.1	WP_024105548.1	WP_010294872.1
group_01227	WP_033111928.1	WP_192988760.1	WP_024109987.1	WP_010296888.1
group_01228	WP_033111715.1	WP_192991425.1	WP_024105196.1	WP_010305347.1
group_01229	WP_033112202.1	WP_192991393.1	WP_026594992.1	WP_010299277.1
group_01230	WP_013317241.1	WP_161132825.1	WP_024105264.1	WP_010285215.1
group_01231	WP_013317893.1	WP_192991272.1	WP_024105893.1	WP_010295186.1
group_01232	WP_081441344.1	WP_192990787.1	WP_103415725.1;WP_024108968.1	None
group_01233	WP_013320054.1	WP_192989885.1	WP_024109352.1	WP_010296561.1
group_01234	WP_013316645.1	WP_192990471.1	WP_103415924.1	WP_010299250.1
group_01235	WP_013317914.1	WP_192991287.1	WP_024105914.1	WP_010296098.1
group_01236	WP_013316346.1	WP_192990295.1	WP_024108225.1	WP_010309333.1
group_01237	WP_033112098.1	WP_192989516.1	WP_026594855.1	WP_039505645.1
group_01238	WP_013317371.1	WP_161131968.1	WP_024105415.1	WP_010298717.1
group_01239	WP_013319945.1	WP_161131607.1	WP_024107737.1	WP_039278611.1
group_01240	WP_013319539.1	WP_192989473.1	WP_024107341.1	WP_010300491.1
group_01241	WP_013317679.1	WP_192991126.1	WP_024105673.1	WP_010306627.1
group_01242	WP_139348398.1	WP_192989212.1	WP_024109125.1	WP_010294686.1
group_01243	WP_013318441.1	WP_192988799.1	WP_024106388.1	WP_010297210.1
group_01244	WP_013316849.1	WP_161131569.1	WP_024108450.1	WP_010303961.1
group_01245	WP_013319875.1	WP_192989694.1	WP_024107672.1	WP_010294671.1
group_01246	WP_013319012.1	WP_024106896.1	WP_024106896.1	WP_010302505.1
group_01247	WP_013319580.1	WP_024107382.1	WP_024107382.1	WP_010295438.1
group_01248	WP_013315993.1	WP_192990034.1	WP_024104230.1	WP_029367641.1
group_01249	WP_013319912.1	WP_161131620.1	WP_024107710.1	WP_010298610.1
group_01250	WP_013316837.1	WP_192990614.1	WP_024104965.1	WP_010299101.1
group_01251	WP_013319528.1	WP_192989466.1	WP_024107333.1	WP_029368876.1
group_01252	WP_013319584.1	WP_192989495.1	WP_024107386.1	WP_010295444.1
group_01253	WP_013316324.1	WP_192990280.1	WP_103415867.1	WP_010300010.1
group_01254	WP_013319085.1	WP_192989196.1	WP_024106956.1	WP_010306197.1
group_01255	WP_013319685.1	WP_192989578.1	WP_024107504.1	WP_010304916.1
group_01256	WP_033111824.1	WP_192991149.1	WP_024105703.1	WP_010301088.1
group_01257	WP_013320117.1	WP_192989845.1	WP_024109379.1	WP_180890145.1
group_01258	WP_033111600.1	WP_024104671.1	WP_024104671.1	WP_010308535.1
group_01259	WP_013318489.1	WP_024106464.1	WP_024106464.1	WP_014915894.1
group_01260	WP_013317510.1	WP_161138092.1	WP_024105540.1	WP_010297606.1
group_01261	WP_013319524.1	WP_024107329.1	WP_024107329.1	WP_010306701.1
group_01262	WP_013317355.1	WP_192990889.1	WP_024105403.1	WP_010302136.1
group_01263	WP_013317494.1	WP_192991028.1	WP_024105530.1	WP_010297645.1
group_01264	WP_013317300.1	WP_192991438.1	WP_024105356.1	WP_010297630.1
group_01265	WP_033111845.1	WP_192991267.1	WP_103415870.1	WP_010295196.1
group_01266	WP_013319233.1	WP_024107080.1	WP_024107080.1	WP_010299862.1
group_01267	WP_013316213.1	WP_192990175.1	WP_024104437.1	WP_010299281.1
group_01268	WP_033111985.1	WP_192989084.1	WP_024106766.1	WP_010305657.1
group_01269	WP_033111678.1	WP_192990598.1	WP_024104941.1	WP_010299031.1
group_01270	WP_013319472.1	WP_192989429.1	WP_024107283.1	WP_010298040.1
group_01271	WP_013318803.1	WP_192988993.1	WP_024109046.1	WP_010302966.1
group_01272	WP_013318924.1	WP_192989096.1	WP_024109066.1	WP_010302756.1
group_01273	WP_013316307.1	WP_161132782.1	WP_024104580.1	WP_039507502.1
group_01274	WP_013319044.1	WP_161132986.1	WP_024109116.1	WP_010299561.1
group_01275	WP_013318130.1	WP_192988601.1	WP_024109937.1	WP_010302179.1
group_01276	WP_013319833.1	WP_192989664.1	WP_024107633.1	WP_010294570.1
group_01277	WP_013317299.1	WP_192990855.1	WP_081634304.1	WP_010297635.1
group_01278	WP_013316071.1	WP_119875274.1	WP_024104302.1	WP_161502937.1
group_01279	WP_013318437.1	WP_024106383.1	WP_024106383.1	WP_010297218.1
group_01280	WP_033112019.1	WP_024106979.1	WP_024106979.1	WP_010294682.1
group_01281	WP_013316811.1	WP_192990594.1	WP_024104938.1	WP_010299015.1
group_01282	WP_013315987.1	WP_192990030.1	WP_103415813.1	WP_039470319.1
group_01283	WP_013317922.1	WP_192991293.1	WP_024105920.1	WP_029367568.1
group_01284	WP_013318709.1	WP_024106599.1	WP_024106599.1	WP_010295387.1
group_01285	WP_013319447.1	WP_161131788.1	WP_024107261.1	WP_010297950.1
group_01286	WP_013317624.1	WP_192991095.1	WP_024105627.1	WP_005967280.1
group_01287	WP_012769780.1	WP_012769780.1	WP_012769780.1	WP_010274915.1
group_01288	WP_013318295.1	WP_024106260.1	WP_024106260.1	WP_010295825.1
group_01289	WP_013320136.1	WP_161142939.1	WP_024107907.1	WP_010300064.1
group_01290	WP_013316737.1	WP_024109680.1	WP_024104862.1	WP_010296350.1
group_01291	WP_013319460.1	WP_024107274.1	WP_024107274.1	WP_029367880.1
group_01292	WP_013316824.1	WP_192990604.1	WP_024104952.1	WP_010299064.1
group_01293	WP_013319111.1	WP_192989210.1	WP_024106976.1	WP_010283932.1
group_01294	WP_013319338.1	WP_192989362.1	WP_024107169.1	WP_010295048.1
group_01295	WP_013319823.1	WP_024110289.1	WP_024110289.1	WP_039466184.1
group_01296	WP_013319599.1	WP_192989507.1	WP_024107400.1	WP_010295473.1
group_01297	WP_013315723.1	WP_192991581.1	WP_162928384.1	WP_039508293.1
group_01298	WP_013315827.1	WP_192989745.1	WP_024104092.1	WP_010301193.1
group_01299	WP_013318304.1	WP_192988717.1	WP_024106267.1	WP_010306279.1
group_01300	WP_013318726.1	WP_192988943.1	WP_024106613.1	WP_010295416.1
group_01301	WP_013319952.1	WP_192989943.1	WP_024107744.1	WP_010300701.1
group_01302	WP_013316642.1	WP_192990470.1	WP_024108319.1	WP_010305910.1
group_01303	WP_013316087.1	WP_192990095.1	WP_024104326.1	WP_010298257.1
group_01304	WP_013317755.1	WP_192991181.1	WP_024105746.1	WP_010309630.1
group_01305	WP_013319400.1	WP_192989398.1	WP_024107223.1	WP_010295136.1
group_01306	WP_013318062.1	WP_192988559.1	WP_024108909.1	WP_010299956.1
group_01307	WP_042318771.1	WP_192991440.1	WP_024105428.1	WP_010299949.1
group_01308	WP_013318503.1	WP_192988829.1	WP_024106477.1	WP_010301669.1
group_01309	WP_013316284.1	WP_192990228.1	WP_024104511.1	WP_010298364.1
group_01310	WP_013316977.1	WP_192990679.1	WP_024105083.1	WP_010298785.1
group_01311	WP_013319122.1	WP_192989218.1	WP_024109128.1	WP_010308760.1
group_01312	WP_013315906.1	WP_192989702.1	WP_024104163.1	WP_010308165.1
group_01313	WP_033111610.1	WP_192990352.1	WP_024104710.1	WP_010308444.1
group_01314	WP_013317515.1	WP_109105272.1	WP_024105542.1	WP_010297585.1
group_01315	WP_013319546.1	WP_024110224.1	WP_024107349.1	WP_010300518.1
group_01316	WP_013316416.1	WP_192990332.1	WP_024108248.1	WP_010295764.1
group_01317	WP_033111542.1	WP_192990068.1	WP_103415809.1	WP_029367814.1
group_01318	WP_013315882.1	WP_192989717.1	WP_024104141.1	WP_010299339.1
group_01319	WP_013317858.1	WP_024108758.1	WP_024108758.1	WP_010295230.1
group_01320	WP_013317473.1	WP_192991017.1	WP_024105515.1	WP_010297673.1
group_01321	WP_013317362.1	WP_192990894.1	WP_024108633.1	WP_010296900.1
group_01322	WP_013317782.1	WP_192991199.1	WP_024108741.1	WP_010306792.1
group_01323	WP_013315904.1	WP_161132655.1	WP_024104161.1	WP_010308167.1
